SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Bellapais Vounous,North,PreBA 1,5,ECII,0,,0,,26,"RP BT small bowl 14
RP bowl with projections on rim 1
RP bowl with open spout 1
RP goblet with two birds and cups 1
RP amphora 1
RP jug 1
RP jug with two horned animals 1
RP juglet 4
RP cooking pot 1
WP composite with two juglets 1",2,"RP goblet with two birds and cups 1
RP jug with two horned animals 1",2,"RP goblet with two birds and cups 1
WP composite with two juglets 1",4,"Copper based knife 1
Copper based pin 3",0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,0,,26,0,0,0,2,4,4,31,31,0,28,0
Bellapais Vounous,North,PreBA 1,6,ECII,0,,0,,105,"RS bowl with projections on rim 1
RS bowl 1
RP tubular spouted bowl 5
RP bowl 1
RP lg bowl 3
RP BT bowl 52
RP BT small tubular spouted bowl 1
RP small bowl with projections on rim 5
RP amphora 4
RP jug 15
RP juglet 3
RP BT bottle 1
RP composite with four cups 1
RP cooking pot 3
WP bowl 2
WP bowl with horned projections 1
Side chamber:
RP BT small bowl 1
RP open spouted bowl with projections on rim 2
RP amphora 1
RP jug 1
RP BT bottle 1",1,WP bowl with horned projections 1,1,RP composite with four cups 1,4,"Copper based dagger/hook tang weapon 1
Copper based pin 2
Copper based needle 1",0,,0,,0,,0,,0,,1,RP spindle whorl 1,0,,0,,0,,0,1,,105,0,0,0,1,4,4,110,110,0,106,0
Bellapais Vounous,North,PreBA 1,7,ECII,0,,0,,68,"RP lg tubular spouted bowl 1
RP lg bowl 1
RP BT small bowl 38
RP small spouted bowl 2
RP small bowl 1
RP small tubular spouted bowl with three handles 1
RP amphora 3
RP jug 10
RP juglet 6
RP BT bottle 1
RP cooking pot 1
RP composite with four bowls and amphoriskos 1
BP bottle 1
WP shallow bowl 1",0,,1,RP composite with four bowls and amphoriskos 1,4,"Copper based dagger/hook tang weapon 1
Copper based knife 1
Copper based pin 2",0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,68,0,0,0,0,4,4,73,73,0,69,0
Bellapais Vounous,North,PreBA 1,8,ECII,0,,0,,105,"RP lg bowl 6
RP lg tubular spouted bowl 1
RP BT small bowl 48
RP BT small tubular spouted bowl 8
RP bowl with horned projection on rim 2
RP open spouted shallow bowl 2
RP small tubular spouted bowl 1
RP footed bowl with two horned projections on rim 1
RP footed bowl with horned projections and cups 1
RP stemmed goblet with birds and cups 1
RP amphora 4
RP jug 14
RP jug with two necks 2
RP juglet 4
RP BT bottle 2
RP cooking pot 2
RP composite with four bowls 1
RP composite with two juglets 1
Plain white ware bottle 1
WP bowl 3",5,"RP bowl with horned projection on rim 2
RP footed bowl with two horned projections on rim 1
RP footed bowl with horned projections and cups 1
RP stemmed goblet with birds and cups 1",9,"RP composite with four bowls 1
RP composite with two juglets 1
RP stemmed goblet with birds and cups 1
RP jug with two necks 2                                                       RP footed bowl with two horned projections on rim 1                                                                                                     RP footed bowl with horned projections and cups 1
RP composite with four bowls 1
RP composite with two juglets 1",5,"Copper based dagger/hooked tang weapon 1
Copper based pin 4",0,,0,,1,Oxen bones,0,,0,,0,,0,,0,,0,,0,0,,105,0,0,0,5,5,5,110,110,0,115,0
Bellapais Vounous,North,PreBA 1,11,ECII,0,,0,,66,"RP lg tubular spouted bowl 1
RP BT small bowl 23
RP BT small bowl incised 4
RP bowl with horned projections 1
RP spouted bowl 1
RP bowl with legs 1
RP amphora 4
RP jug with relief stags and snakes 1
RP jug 7
RP juglet 19
RP bottle 2
RP pyxis 1
WP bowl 1",3,"Plank shaped figurine, anthropomorphic 1
RP bowl with horned projections 1
RP jug with relief stags and snakes 1",0,,3,"Copper based dagger/hook tang weapon 1
Copper based pin 2",0,,0,,0,,0,,0,,0,,0,,1,"Plank shaped figurine, anthropomorphic 1",0,,0,0,,66,1,0,0,3,3,3,69,70,1,66,1
Bellapais Vounous,North,PreBA 1,12,ECII,0,,0,,90,"RP lg tubular spouted bowl 1
RP lg bowl with snake ornament 1
RP spouted bowl 1
RP BT small bowl 43
RP bowl with horned projections 1
RP spouted shallow bowl 2
RP amphora 5
RP jug 21
RP jug with snake, bucranium, crescent and disc 1
RP jug with incised decoration 2
RP jug with two necks, shallow cups 1
RP juglet 8
WP small spouted bowl 1
WP bowl 1
WP composite with four cups 1",3,"RP lg bowl with snake ornament 1
RP bowl with horned projections 1
RP jug with snake, bucranium, crescent and disc 1",2,"RP jug with two necks, shallow cups 1
WP composite with four cups 1",2,"Copper based dagger/hook tang weapon 1
Copper based tweezer 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,90,0,0,0,3,2,2,92,92,0,92,0
Bellapais Vounous,North,PreBA 1,15,ECII,0,,0,,107,"RP lg spouted bowl 3
RP lg spouted bowl with snake ornament 1
RP lg bowl with rope ornament 1
RP lg bowl with snakes 1
RP lg spouted bowl 2
RP BT small bowl 48
RP small bowl 4
RP bowl with projections 4
RP tubular spouted bowl with horns 1
RP amphora 6
RP jug 9
RP jug incised with circles, trees, quadrupeds 1
RP jug incised with circles, trees 1
RP juglet 14
RP BT bottle 4
RP bottle 1
RP composite with three juglets 1
RP composite with four juglets 1
RP composite with four cup 1
RP pyxis 1
RP cooking pot 1
BP bottle 1",5,"RP jug incised with circles, trees, quadrupeds 1
RP jug incised with circles, trees 1
RP tubular spouted bowl with horns 1
RP lg spouted bowl with snake ornament 1
RP lg bowl with snakes 1",3,"RP composite with three juglets 1
RP composite with four juglets 1
RP composite with four cup 1",9,"Arsenical copper knife (tested) 1
Copper based knife 1
Copper based pin 5
Arsenical copper pin (tested) 1
Unalloyed copper pin (tested) 1",0,,2,"Copper based dagger/hook tang weapon (tested, Anatolia) 1
Arsenical copper knife/dagger/scraper (tested, Anatolia) 1",0,,0,,2,Blue paste bead necklace 2,1,Brown flint flake 1,0,,0,,0,,0,0,,107,0,0,4,5,11,11,117,121,4,110,0
Bellapais Vounous,North,PreBA 1,16,ECII,0,,0,,47,"RP lg tubular spouted bowl 1
RP lg bowl 2
RP lg open spouted bowl 1
RP small tubular spouted bowl 1
RP BT small bowl 25
RP small bowl with projections on rim 1
RP open spouted bowl with horn projections 3
RP BT footed goblet with birds on rim 1
RP amphora 2
RP jug 3
RP jug with juglet and small cups on shoulder 1
RP juglet 1
RP composite with two spouted bowls 1
RP pyxis 1
BP bottle 2
WP spouted bowl 1",4,"RP open spouted bowl with horn projections 3
RP BT footed goblet with birds on rim 1",3,"RP BT footed goblet with birds on rim 1
RP jug with juglet and small cups on shoulder 1
RP composite with two spouted bowls 1",2,"Copper based cylindrical earring 1
Copper based pin 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,47,0,0,0,4,2,2,49,49,0,50,0
Bellapais Vounous,North,PreBA 1,18,ECII,0,,0,,45,"RP lg spouted bowl with stylized human, horned head and snakes 1
RP lg bowl 3
RP BT small bowl 26
RP small bowl with projections on rim 5
RP amphora 2
RP jug with snakes in relief 1
RP jug 3
RP juglet 1
WP spouted bowl with snake, blackened inside 1
WP open spouted bowl 1
WP horns 1",4,"WP horns 1
RP lg spouted bowl with stylized human, horned head and snakes 1
RP jug with snakes in relief 1
WP spouted bowl with snake, blackened inside 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,45,0,0,0,4,0,0,45,45,0,45,0
Bellapais Vounous,North,PreBA 1,28,ECIC,0,,0,,39,"RP lg tubular spouted bowl with u relief 1
RP lg bowl with snake ornament 2
RP lg spouted bowl 1
RP BT small bowl 19
RP BT small incised bowl 1
RP spouted bowl 2
RP small bowl with four projections on rim 2
RP small tubular spouted bowl 1
RP small bowl with projections on rim 1
RP small bowl with small cups and bird's heads 1
RP small bowl with two birds and cups 1
RP amphora 3
RP jug 2
RP juglet 1
RP small boat shaped pyxis with animals' heads 1",5,"RP lg bowl with snake ornament 2
RP small bowl with small cups and bird's heads 1
RP small bowl with two birds and cups 1
RP small boat shaped pyxis with animals' heads 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,39,0,0,0,5,0,0,39,39,0,39,0
Bellapais Vounous,North,PreBA 1,30,ECIC,0,,0,,30,"RP lg bowl with snake ornament 2
RP BT small bowl 16
RP BT small incised bowl 1
RP small bowl with projections on rim 4
RP spouted bowl 2
RP amphora 2
RP jug with two horned animals 1
RP jug 2",3,"RP lg bowl with snake ornament 2
RP jug with two horned animals 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,30,0,0,0,3,0,0,30,30,0,30,0
Bellapais Vounous,North,PreBA 1,31,ECII,0,,0,,52,"RP bowl with snake 1
RP BT small bowl 15
RP spouted bowl 1
RP bowl 2
RP small spouted bowl 1
RP jug 3
RP BT bottle 1
Side chamber:
RP BT small bowl 18
RP bowl 1
RP small spouted bowl 3
RP small bowl with projections on rim 2
RP jug 3
RP BT bottle 1",1,RP bowl with snake 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,52,0,0,0,1,0,0,52,52,0,52,0
Bellapais Vounous,North,PreBA 1,35,ECIC,0,,0,,45,"RP lg tubular spouted bowl 1
RP lg bowl 1
RP BT small bowl 4
RP BT bowl 7
RP open spouted bowl 1
RP bowl with projections on rim 3
RP spouted bowl with projections on rim 1
RP amphora 3
RP jug 5
RP cooking pot 5
RP juglet 1
BP amphoriskos 1
Side Chamber A:
RP BT small bowl 1
RP bowl 4
RP jug 1
RP juglet 4
Side Chamber B:
RP bowl with projections on rim 1
RP juglet 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,45,0,0,0,0,0,0,45,45,0,45,0
Bellapais Vounous,North,PreBA 1,39,ECII,0,,0,,61,"RP lg spouted bowl with snake and u shaped ornament 1
RP lg spouted bowl with snake 1
RP lg bowl with snakes 1
RP lg bowl 1
RP BT small bowl 20
RP BT small incised bowl 2
RP small bowl with projections on rim 1
RP amphora 4
RP jug 13
RP jug with three stags and snakes 1
RP juglet 10
RP BT bottle 3
BP incised bowl 1
BP horn shaped bottle 1
BS jug 1",5,"RP lg spouted bowl with snake and u shaped ornament 1
RP lg spouted bowl with snake 1
RP lg bowl with snakes 1
RP jug with three stags and snakes 1
BP horn shaped bottle 1",0,,2,"Copper based knife 1
Copper based tweezer 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,61,0,0,0,5,2,2,63,63,0,61,0
Bellapais Vounous,North,PreBA 1,41,ECIC,0,,0,,87,"RS bowl with pointed base and projections on rim 2
RP lg tubular spouted bowl 3
RP lg bowl with snake ornament 2
RP lg open spouted bowl 2
RP bowl 27
RP bowl with open spout 4
RP small bowl with projections on rim 5
RP jug 8
RP amphora 3
RP BT bottle 1
RP bottle 4
RP cooking pot 2
WP open spouted bowl 1
Side Chamber:
RP BT small bowl 14
RP open spouted bowl 2
RP small bowl 1
RP jug 3
RP juglet 3",2,RP lg bowl with snake ornament 2,2,RS bowl with pointed base and projections on rim 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,87,0,0,0,2,0,0,87,87,0,89,0
Bellapais Vounous,North,PreBA 1,42,ECII,0,,0,,25,"RP lg tubular spouted bowl 3
RP lg bowl 2
RP small bowl with four projections on rim 1
RP BT small bowl 1
RP bowl 1
RP bowl incised 1
RP open spouted small bowl 1
RP small open spouted bowl with projections on rim 1
RP jug with snake ornament 4
RP jug incised 1
RP juglet 3
RP BT bottle 3
RP amphora 2
RP cooking pot 1",4,RP jug with snake ornament 4,0,,2,Copper based pin 2,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,25,0,0,0,4,2,2,28,28,0,25,0
Bellapais Vounous,North,PreBA 1,45,ECII,0,,0,,50,"RP lg tubular spouted bowl with snake ornament 2
RP lg bowl 1
RP bowl 24
RP open spouted bowl 6
RP bowl with projections on rim 3
RP bowl 1
RP BT small bowl 1
RP small bowl with projections on rim 1
RP goblet 1
RP jug 4
RP jug with snake ornament 1
RP juglet 2
RP amphora 2
BP juglet 1",7,"RP BT model of dagger and sheath 2
RP lg tubular spouted bowl with snake ornament 2
RP jug with snake ornament 1
RP BT model of dagger and sheath 2",1,RP goblet 1,6,"Copper based dagger/hook tanged weapon 1
Copper based knife 2
Copper based pin 3",0,,1,"Copper based knife/dagger (tested, Anatolia) 1",0,,0,,0,,2,RP BT model of dagger and sheath 2,0,,0,,0,,0,0,,50,0,0,1,7,7,7,58,59,1,51,0
Bellapais Vounous,North,PreBA 1,51,ECII,0,,0,,35,"RP juglet 2
RP gourd flask 2
RP tulip bowl 1
RP bowl 16
RP dish 5
RP spouted dish 2
RP amphora 1
RP jug 1
RP basin with snake décor(?) 1
RP spouted bowl 1
RP spouted bowl with snake 1
RP BT stemmed vessel 1
RP amphora 1",3,"RP basin with snake décor(?) 1
RP spouted bowl with snake 1
RPBT dagger and sheath model 1",2,"RP tulip bowl 1
RP BT stemmed vessel 1",0,,0,,0,,0,,0,,0,,1,RPBT dagger and sheath model 1,0,,0,,0,,0,0,,35,0,0,0,3,0,0,36,36,0,37,0
Bellapais Vounous,North,PreBA 1,71,ECII-ECIII,1,BP pyxis 1,0,,57,"RP BT bowl 1
RP bowl 22
RP ""cream bowl"" 3
RP jug 9
Spouted dish 2
dish 1
RP dish 3
RP platter 1
RP spouted dish 1
RP spouted bowl 3
RP basin 5
Coarse ware amphora 1
RP amphora 1
RP juglet 2
RP tulip bowl 2",1,RP comb 1,2,RP tulip bowl 2,0,,0,,0,,1,Animal bones,1,BP spindle whorl 1,0,,1,RP comb 1,0,,0,,0,,0,0,,58,0,2,0,1,0,0,58,60,2,61,2
Bellapais Vounous,North,PreBA 1,"043, 043a",ECII,0,,0,,39,"RP lg bowl with snake 3
RP lg bowl 1
RP BT small bowl 17
RP stemmed bowl with projections by the rim 1
RP amphora 1
RP jug with snake 3
RP jug 3
RP juglet 3
RP bottle 1
RP BT bottle 5
RP composite with four cups 1",6,"RP lg bowl with snake 3
RP jug with snake 3",2,"RP stemmed bowl with projections by the rim 1
RP composite with four cups 1",1,Copper based pin 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,39,0,0,0,6,1,1,40,40,0,41,0
Bellapais Vounous,North,PreBA 1,"046, 046a",ECII,0,,0,,47,"RP lg spouted bowl 3
RP lg bowl 1
RP bowl 25
RP spouted bowl 1
RP jug with snake relief 5
RP jug 2
RP jug with two neck and birds 1
RP juglet 5
RP bottle 2
RP amphora 1
RP cooking pot 1",6,"RP jug with snake relief 5
RP jug with two neck and birds 1",1,RP jug with two neck and birds 1,2,Copper based knife 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,47,0,0,0,6,2,2,49,49,0,48,0
Bellapais Vounous,North,PreBA 1,070 PreBA 1 Total,ECII,0,,0,,38,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,0,,38,0,0,0,0,0,0,39,39,0,38,0
Bellapais Vounous,North,PreBA 2,9,ECIII,0,,0,,152,"RP lg bowl 1
RP BT small bowl 67
RP small bowl 4
RP bowl with horned projections on rim 3
RP spouted bowl 1
RP tubular spouted bowl with bucranium in relief 1
RP footed goblet with horned projections 1
RP amphora 5
RP jug 20
RP jug with two necks 1
RP juglet 21
RP bottle 11
RP horned shaped bottle 1
RP pyxis 2
RP composite with two jugs 1
RP composite with four juglets 1
RP composite with three footed bowls 1
RP composite with four bowls 2
RP composite with two juglets 1
RP offering table with juglet and small cup 1
RP horn 2
RP cooking pot 4",10,"RP bowl with horned projections on rim 3
RP tubular spouted bowl with bucranium in relief 1
RP horned shaped bottle 1
RP offering table with juglet and small cup 1
RP horn 2
RP footed goblet with horned projections 1
RP brush model 1",8,"RP footed goblet with horned projections 1
RP jug with two necks 1
RP composite with two jugs 1
RP composite with four juglets 1
RP composite with three footed bowls 1
RP composite with four bowls 2
RP composite with two juglets 1",4,"Copper based knife/hook tang weapon 1
Copper based pin 3",0,,0,,0,,0,,0,,3,"RP brush model 1
RP spindle whorl 2",0,,0,,0,,0,0,,152,0,0,0,10,4,4,159,159,0,160,0
Bellapais Vounous,North,PreBA 2,13,ECIII,2,BP bottle 2,0,,103,"RP lg bowl with horned projections and snakes 1
RP lg bowl with horned animal and horn projections 1
RP lg bowl with horns of consecration and snake 2
RP lg spouted bowl 1
RP BT small bowl 38
RP small bowl with projections 2
RP amphora 7
RP jug 21
RP juglet 15
RP bottle 7
RP composite with three juglets 1
RP composite with four cups 1
RP cooking pot 5
WP bowl 1",4,"RP lg bowl with horned projections and snakes 1
RP lg bowl with horned animal and horn projections 1
RP lg bowl with horns of consecration and snake 2",2,"RP composite with three juglets 1
RP composite with four cups 1",6,"Copper based dagger/hooked tang weapon 1
Copper based knife 2
Copper based pin 2
Copper based tweezer 1",0,,0,,0,,0,,0,,1,Ladle 1,0,,0,,0,,0,0,,105,0,2,0,4,6,6,110,112,2,107,2
Bellapais Vounous,North,PreBA 2,17,ECIII,1,BP bottle 1,0,,60,"RP med bowl 1
RP small bowl with four horned projections 1
RP BT small bowl 32
RP BT small incised bowl 1
RP small tubular spouted bowl 1
RP bowl with projections on rim 1
RP bowl with semicircular spout 2
RP small spouted bowl 1
RP footed bowl with four horned projections 1
RP amphora 2
RP jug with snake in relief 1
RP jug 4
RP juglet 5
RP bottle 1
RP BT bottle 1
RP cooking pot 1
RP pyxis 2
RP ring vase with four bowls and legs, cups 1
RP composite with four bowls 1",3,"RP small bowl with four horned projections 1
RP footed bowl with four horned projections 1
RP jug with snake in relief 1",3,"RP footed bowl with four horned projections 1
RP ring vase with four bowls and legs, cups 1
RP composite with four bowls 1",8,"Copper based dagger/hook tang weapon 1
Copper based knife 2
Copper based scraper 1
Copper based pin 4",0,,0,,0,,0,,0,,4,Spindle whorl 4,0,,0,,0,,0,0,,61,0,1,0,3,8,8,72,73,1,64,1
Bellapais Vounous,North,PreBA 2,19,ECIII,1,BP bowl 1,0,,91,"RP tubular spouted bowl 1
RP smaller bowl 1
RP BT small bowl 43
RP small bowl 5
RP semicircular spouted bowl 4
RP bowl with projections on rim 5
RP open spouted bowl 1
RP amphora 7
RP jug 1
RP jug with snake, crescent, disc ornament 1
RP jug 5
RP two necked jug with male and female figure, bucranium, horned animal, bird and small cup 1
RP juglet 2
RP BT bottle 1
RP pyxis 4
RP composite with four multiple neck jugs 1
RP and WP composite vase with 3 RP bowls, 1 WP bowl 3
RP cooking pot 2
WP spouted bowl 3",2,"RP jug with snake, crescent, disc ornament 1
RP two necked jug with male and female figure, bucranium, horned animal, bird and small cup 1",5,"RP composite with four  multiple neck jugs 1
RP and WP composite vase with 3 RP bowls, 1 WP bowl 3
RP two necked jug with male and female figure, bucranium, horned animal, bird and small cup 1",7,"Copper based dagger, hooked tang weapon 1
Copper based knife 2
Unalloyed copper knife/scraper (tested) 1
Copper based pin 2
Unalloyed copper tweezer (tested) 1",1,Tin bronze dagger with relief décor (tested) 1,0,,0,,1,BP spindle whorl 1,1,Blue paste bead necklace 1,2,RP spindle whorl 2,0,,0,,0,,0,0,,92,0,2,2,2,8,8,100,104,4,97,2
Bellapais Vounous,North,PreBA 2,20,ECIII,0,,0,,36,"RP lg spouted bowl 2
RP BT bowl 15
RP spouted bowl 4
RP bowl with birds heads on rim 1
RP amphora 2
RP jug 3
RP juglet 3
Side chamber:
RP BT bowl 1
RP BT spouted bowl 1
RP bowl with two animals and cups on rim 1
RP amphora 2
RP jug 1",2,"RP bowl with birds heads on rim 1
RP bowl with two animals and cups on rim 1",0,,2,"Arsenical copper knife (tested) 1
Copper based pin 1",0,,0,,0,,0,,2,Blue paste bead 2,0,,0,,0,,0,,0,0,,36,0,0,2,2,2,2,38,40,2,36,0
